Camera,JDay,Peromyscus,Chipmunk,Neotoma,Cottontail,Rock Squirrel,Grey fox,Elk,Jackrabbit,Deer,Bat,rich,Cluster,Treatment,Lzeq,Laeq,Lux,Lat,Long,Elevation,Landcover,M_Illum,PMU,mIndex
PC3_10,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Noise,76.9,49.4,0,36.91724,-107.70027,NA,Shrubland,0.641078707,0.716717305,0.459472203
PC3_2,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Noise,73.7,43.8,0,36.91793,-107.70084,NA,Woodland,0.641078707,0.716717305,0.459472203
PC3_3,163.5,1,0,0,0,0,0,0,0,0,0,1,Orange,Noise,78,43.6,0,36.91748,-107.70198,NA,Woodland,0.741543851,0.780081007,0.578464273
PC3_4,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Noise,72.3,42.8,0,36.91732,-107.70216,NA,Woodland,0.641078707,0.716717305,0.459472203
PC3_5,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Noise,75.1,44.1,0,36.91627,-107.70203,NA,Shrubland,0.641078707,0.716717305,0.459472203
PC3_6,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Noise,71.7,41,0,36.91611,-107.70226,NA,Shrubland,0.641078707,0.716717305,0.459472203
PC3_7,162.5,0,0,0,0,0,0,0,14,0,0,1,Orange,Noise,78.4,53.4,0,36.91599,-107.70065,NA,Woodland,0.641078707,0.716717305,0.459472203
PC3_8,162.5,0,0,0,0,0,0,0,10,0,0,1,Orange,Noise,76.1,50.8,0,36.91576,-107.70064,NA,Woodland,0.641078707,0.716717305,0.459472203
PC3_9,162.5,0,0,0,0,0,0,0,0,0,0,0,Orange,Noise,76.8,53.3,0,36.91714,-107.70003,NA,Woodland,0.641078707,0.716717305,0.459472203
PC6_1,174.5,0,0,0,0,0,0,0,0,0,0,0,Green,Light,67.4,36.9,0,36.92239503,-107.661481,2037.0896,Woodland,0.64073945,0.507767594,0.325346729
PC6_10,174.5,0,0,0,0,0,0,0,0,0,0,0,Green,Light,66.4,35.2,0.09,36.92125903,-107.660853,2040.11853,Woodland,0.64073945,0.507767594,0.325346729
PC6_2,174.5,6,0,0,0,0,0,0,0,0,0,1,Green,Light,67.8,35.4,0.24,36.92249402,-107.66165,2036.502563,Woodland,0.64073945,0.507767594,0.325346729
PC6_3,174.5,0,0,0,0,0,0,0,0,0,0,0,Green,Light,68.2,43.4,0.06,36.92303801,-107.661918,2040.385132,Woodland,0.64073945,0.507767594,0.325346729
PC6_4,174.5,0,0,0,0,0,0,0,0,0,0,0,Green,Light,69.8,40.4,0.26,36.92318897,-107.662043,2042.426636,Woodland,0.64073945,0.507767594,0.325346729
PC6_5,174.5,1,0,0,0,0,0,0,0,0,0,1,Green,Light,68.2,35.6,0,36.923525,-107.660588,2040.5802,Woodland,0.64073945,0.507767594,0.325346729
PC6_6,174.5,0,0,0,0,0,0,0,0,0,0,0,Green,Light,68,39.3,0.04,36.92366104,-107.660479,2042.199341,Woodland,0.64073945,0.507767594,0.325346729
PC6_7,174.5,1,0,0,0,0,0,0,0,0,0,1,Green,Light,66.9,37.3,0.27,36.92323498,-107.659766,2037.902344,Woodland,0.64073945,0.507767594,0.325346729
PC6_8,175,0,0,0,0,0,0,0,0,0,0,0,Green,Light,67.6,37.9,0.21,36.92312904,-107.659793,2033.838867,Woodland,0.591769059,0.478098728,0.282924034
PC6_9,174.5,1,0,0,0,0,0,0,0,0,0,1,Green,Light,67.2,39.9,0.44,36.92116801,-107.660746,2038.372925,Woodland,0.64073945,0.507767594,0.325346729
PT11_1,169.5,0,0,0,0,0,0,0,0,0,0,0,Yellow,Combined,80.2,46.1,0.27,36.90217998,-107.71255,1953.404053,Shrubland,0.974966102,0.814873499,0.794474038
PT11_10,169.5,0,0,0,0,0,0,0,0,0,0,0,Yellow,Combined,77.4,42.6,0.04,36.90284299,-107.711572,1966.817871,Shrubland,0.974966102,0.814873499,0.794474038
PT11_2,169.5,0,0,0,0,0,0,0,0,0,0,0,Yellow,Combined,77.7,38.6,0.1,36.90220504,-107.712722,1951.635132,Shrubland,0.974966102,0.814873499,0.794474038
PT11_3,169.5,61,0,0,0,0,0,0,0,0,0,1,Yellow,Combined,73.9,38.5,0.05,36.90167698,-107.713129,1949.243408,Shrubland,0.974966102,0.814873499,0.794474038
PT11_4,169.5,11,0,0,0,0,0,0,0,0,0,1,Yellow,Combined,72.3,38.9,0.19,36.90148403,-107.713104,1952.583496,Shrubland,0.974966102,0.814873499,0.794474038
PT11_5,169.5,1,0,0,0,0,0,0,0,0,0,1,Yellow,Combined,73.4,44.4,0.04,36.90129602,-107.712578,1953.16748,Shrubland,0.974966102,0.814873499,0.794474038
PT11_6,169.5,0,0,0,0,0,0,0,0,0,0,0,Yellow,Combined,74.6,47.6,0.3,36.90118597,-107.712411,1955.114136,Shrubland,0.974966102,0.814873499,0.794474038
